FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Daniel,Amartey,DEF,LEI,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,2944,0,2,0,0,0,0,0,0.2,2944,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,2380,0,-1,0,0,90,2380,0,0,16,Arsenal,Southampton,Chelsea,Man Utd,Brighton,0.7,1.4,0.7,1.4,0.5,0.9,0.9,0.7,0.5,1.1,0.5,1.2,0.5,1.2,0.9,0.5,0.5,0.5,0.5,0.5,0.7,1.1,1.2,0.9,1.2,0.9,0.5,0.9,0.5,0.5,1.4,0.5,1.4,0.5,0.5,0.5,1.1
Ethan,Ampadu,DEF,CHE,4500000,0,0,0,0,0,0,1134,0,0,0,0,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0.1,440,0,-1,0,0,0,440,0,0,0,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joachim,Andersen,DEF,CRY,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,20695,0,2,0,0,0,0,0,0.2,20695,0,0,1,0,0.2,0,1,0,0,0,0,0,2.6,10003,0,-1,0,0,90,10003,0,0,20,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle,0.5,0.9,0.5,0.5,0.5,1.4,0.5,0.9,0.5,0.5,1.4,1.2,1.4,0.9,0.5,0.5,0.5,1.1,0.7,0.5,1.2,0.5,0.5,0.5,0.7,0.5,0.7,0.6,0.5,1.2,1.4,1.2,1.1,0.9,0.5,0.5,0.7
Elliot,Anderson,MID,NEW,4500000,0,0,0,0,0,0,1768,0,0,0,0,0,0,0,0,1768,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2712,0,-1,0,0,0,2712,0,0,0,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,4500000,0,0,0,0,0,0,4533,0,0,0,0,0,0,0,0,4533,0,0,0,0,0,0,0,0,0,0,0,0,0.2,289,0,-1,0,0,0,289,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andreas,MID,FUL,4500000,2,2,2,4.44444444444444E-07,4.44444444444444E-07,0,46055,0,2,0,0,0,0,0,0.4,46055,0,0,2,0,0.4,0,2,0,0,0,0,0,25.3,146019,0,-1,0,0,88,146019,0,0,5,Wolverhampton,Brentford F.C.,Arsenal,Brighton,Tottenham,1,1.6,1,1.1,1,1.2,1.9,1.3,1.4,1.3,2.1,1,1.9,1,1.7,1.3,1.2,1,1,1.2,1,2.3,1,1.1,1.2,1.2,1,1,1.8,1.5,1.3,1.7,1.2,1.4,1,1.7,1.3
Jaidon,Anthony,MID,BOU,5500000,0,0,0,0,0,0,1789,0,0,0,0,0,0,0,0,1789,0,0,0,0,0,0,0,0,0,0,0,0,0.1,424,0,-1,0,0,0,424,0,0,0,Man City,Arsenal,Liverpool,Wolverhampton,Nottingham Forest FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,7500000,1,1,1,1.33333333333333E-07,1.33333333333333E-07,0,71496,0,1,0,0,0,0,0,0.1,71496,0,0,1,0,0.1,0,1,0,0,0,0,0,4.5,29232,0,-1,0,0,56,29232,0,0,1,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea,0,0.7,0.9,0.5,0.5,0.5,0.5,1.2,0.9,1.2,0.9,0.5,1.2,1.4,0.6,0.5,0.8,0.5,1,0.7,0.5,0.5,0.5,1,0.5,1.1,0.5,1.4,0.7,0.5,0.5,1.1,1.2,1.3,0.6,0.7,0.5
Cameron,Archer,FWD,AVL,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,36396,0,0,0,0,0,0,0,0.2,36396,0,0,1,0,0.2,0,1,0,0,0,0,0,7.5,31197,0,-1,0,0,8,31197,0,0,3,Everton,Crystal Palace,West Ham,Arsenal,Man City,0.7,1.2,1,0.5,0.5,0.5,1.4,0.5,0.8,0.5,0.7,0.8,0.5,1.3,0.5,1.1,0.5,1.2,0.7,1.2,0.6,0.5,0.5,0.5,1.4,0.8,0.5,0.5,1,0.5,0.6,0.9,1.2,1,0.5,0.9,0.7
Alphonse,Areola,GLK,WHU,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,11197,0,2,0,0,0,0,0,0.2,11197,0,0,1,0,0.2,0,1,0,0,0,0,0,1.6,15592,0,-1,0,0,61,15592,0,0,2,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea,0.5,0.5,0.7,1.1,0.7,0.5,1.2,1.4,0.5,1.2,0.5,0.5,1.2,1.1,0.6,0.7,0.5,0.5,1.2,1.4,0.5,0.9,0.9,0.7,0.5,0.9,0.5,1.4,0.5,0.9,0.5,0.5,0.9,1.4,0.5,0.5,0.5
